"Site" "Stage" "cluster" "UMAP1" "UMAP2" "nGene" "nUMI"
"FL5_TKR181100053_sc24" "Liver" "CS23" "Mac_3" 6.927764893 -3.917635918 4770 134165
"FL5_TKR181100053_sc25" "Liver" "CS23" "CD7loP" 0.879109502 -1.734487534 4585 216963
"FL5_TKR181100053_sc26" "Liver" "CS23" "Myeloblast" 0.218085334 -0.334292054 4509 111615
"FL5_TKR181100053_sc27" "Liver" "CS23" "CD7hiP" -2.289938211 -3.690345049 3917 96448
"FL5_TKR181100053_sc28" "Liver" "CS23" "Mac_3" 6.908411026 -3.891469002 3094 19167
"FL5_TKR181100053_sc29" "Liver" "CS23" "MkP" -7.367907047 -5.239140511 6219 266849
"FL5_TKR181100053_sc30" "Liver" "CS23" "CD7hiP" -2.213252306 -3.614180088 3857 161719
"FL5_TKR181100053_sc31" "Liver" "CS23" "Mast cell" -7.568973541 -2.208736181 2926 13651
"FL5_TKR181100053_sc33" "Liver" "CS23" "Mast cell" -7.464644432 -2.302756548 4267 79136
"FL5_TKR181100053_sc35" "Liver" "CS23" "Monocyte" 6.578827858 -3.804525137 2281 14945
"FL5_TKR181100053_sc36" "Liver" "CS23" "ILC" -2.562259912 -6.160949707 3784 52008
"FL5_TKR181100053_sc37" "Liver" "CS23" "Monocyte" 2.040792942 -1.43019104 3545 74314
"FL5_TKR181100053_sc38" "Liver" "CS23" "Mac_3" 6.879389763 -3.950277328 4762 183472
"FL5_TKR181100053_sc40" "Liver" "CS23" "Myeloblast" -0.119933628 -0.002489164 2901 60453
"FL5_TKR181100053_sc41" "Liver" "CS23" "ErP" -5.142689705 -3.285708666 5504 193855
"FL5_TKR181100053_sc42" "Liver" "CS23" "CD7hiP" -2.187859774 -3.735544205 3948 82459
"FL5_TKR181100053_sc43" "Liver" "CS23" "Myeloblast" 0.177285045 0.145004556 2814 23113
"FL5_TKR181100053_sc44" "Liver" "CS23" "Monocyte" 2.394705534 -1.403651237 3831 128438
"FL5_TKR181100053_sc45" "Liver" "CS23" "CD7loP" 0.869067371 -1.325742126 4771 196291
"FL5_TKR181100053_sc46" "Liver" "CS23" "HSPC" -4.570822239 -2.91454792 2529 13939
"FL5_TKR181100053_sc47" "Liver" "CS23" "Monocyte" 1.416905284 -1.277639151 6567 351072
"FL5_TKR181100053_sc48" "Liver" "CS23" "Myeloblast" -0.082888439 -0.019259982 4725 191168
"FL5_TKR181100053_sc49" "Liver" "CS23" "Myeloblast" 0.027120756 -0.03863902 4039 60777
"FL5_TKR181100053_sc50" "Liver" "CS23" "Myeloblast" 0.211475462 0.559698164 2258 35296
"H3_TKR181100051_sc1" "Head" "CS23" "Mac_4" 9.831533432 -3.075906992 3391 48264
"H3_TKR181100051_sc2" "Head" "CS23" "Mac_4" 9.981114388 -2.418846607 2413 45532
"H3_TKR181100051_sc3" "Head" "CS23" "Mac_4" 9.941792488 -2.455404997 2202 19527
"H3_TKR181100051_sc4" "Head" "CS23" "Mac_4" 9.84431839 -3.282657146 2936 33408
"H3_TKR181100051_sc6" "Head" "CS23" "Mac_4" 10.03830528 -3.262858629 2505 11557
"H3_TKR181100051_sc7" "Head" "CS23" "ILC" -2.696388245 -6.054194927 2614 15073
"H3_TKR181100051_sc10" "Head" "CS23" "GMP" -1.557420492 0.089234509 3640 36670
"H3_TKR181100051_sc13" "Head" "CS23" "Mac_4" 8.519562721 -1.912683249 4474 63046
"H3_TKR181100051_sc14" "Head" "CS23" "Mac_4" 9.91910553 -2.583751678 2708 88688
"H3_TKR181100051_sc15" "Head" "CS23" "Mac_4" 10.03988743 -3.26202178 2272 47557
"H3_TKR181100051_sc17" "Head" "CS23" "Mac_4" 10.02705956 -2.555926561 2953 71322
"H3_TKR181100051_sc18" "Head" "CS23" "Mac_4" 9.921209335 -3.170149565 3276 37270
"H3_TKR181100051_sc19" "Head" "CS23" "Mac_4" 10.05802727 -3.168668985 5292 200095
"H3_TKR181100051_sc22" "Head" "CS23" "Mac_4" 9.928920746 -3.249016285 4182 90367
"H3_TKR181100051_sc25" "Head" "CS23" "Mac_4" 9.898784637 -2.487994194 3955 210555
"H3_TKR181100051_sc26" "Head" "CS23" "Mac_4" 9.749799728 -2.556523561 3425 113545
"H3_TKR181100051_sc28" "Head" "CS23" "Mac_4" 10.02975464 -3.221776009 4228 44505
"H3_TKR181100051_sc29" "Head" "CS23" "CD7loP" 0.958592296 -4.445065498 5874 238060
"H3_TKR181100051_sc30" "Head" "CS23" "Mac_4" 10.00568676 -1.874315977 3306 100310
"H3_TKR181100051_sc31" "Head" "CS23" "Mac_4" 9.905490875 -3.031090736 2365 17022
"H3_TKR181100051_sc32" "Head" "CS23" "Mac_4" 9.981695175 -2.482616901 3702 40899
"H3_TKR181100051_sc35" "Head" "CS23" "Mac_4" 10.03902626 -2.337881327 3442 27939
"H3_TKR181100051_sc36" "Head" "CS23" "ILC" -2.728715897 -6.133007526 4278 67078
"H3_TKR181100051_sc37" "Head" "CS23" "Mac_4" 10.0733242 -1.943772435 3003 41952
"H3_TKR181100051_sc38" "Head" "CS23" "Mac_4" 10.01925278 -2.044459105 2763 74566
"H3_TKR181100051_sc39" "Head" "CS23" "Mac_4" 9.652092934 -2.407470942 2604 14150
"H3_TKR181100051_sc40" "Head" "CS23" "Mac_4" 9.9472332 -2.955336332 3531 85201
"H3_TKR181100051_sc41" "Head" "CS23" "Mac_4" 9.948436737 -2.6622293 3159 115581
"H3_TKR181100051_sc42" "Head" "CS23" "Mac_4" 9.561687469 -2.460044622 4788 277365
"H3_TKR181100051_sc43" "Head" "CS23" "Mac_4" 10.04678249 -1.952750444 2900 16449
"H3_TKR181100051_sc44" "Head" "CS23" "Mac_4" 9.948729515 -2.434682608 2646 45341
"H3_TKR181100051_sc45" "Head" "CS23" "Mac_4" 9.829319954 -2.51258111 2205 27859
"H3_TKR181100051_sc47" "Head" "CS23" "Mac_4" 9.963985443 -3.248969555 4426 108520
"H3_TKR181100051_sc48" "Head" "CS23" "Mac_4" 10.02868366 -2.135876894 3363 75719
"H3_TKR181100051_sc49" "Head" "CS23" "Mac_4" 10.02664375 -2.254933834 4621 141789
"H3_TKR181100051_sc50" "Head" "CS23" "Mac_4" 9.98852253 -3.198400497 4488 247129
"L1_TKR181100052_sc1" "Lung" "CS23" "Mac_2" 4.755752087 -1.478512526 5141 144087
"L1_TKR181100052_sc2" "Lung" "CS23" "Mac_2" 5.108135223 -1.361209393 5425 247739
"L1_TKR181100052_sc3" "Lung" "CS23" "Mac_2" 4.496052265 -1.74270308 4837 98277
"L1_TKR181100052_sc4" "Lung" "CS23" "ILC" -2.556890488 -6.20744133 2107 32251
"L1_TKR181100052_sc5" "Lung" "CS23" "Mac_2" 4.560352325 -1.554259777 2987 22845
"L1_TKR181100052_sc9" "Lung" "CS23" "Mac_2" 5.943404198 -0.822838545 5583 142695
"L1_TKR181100052_sc10" "Lung" "CS23" "Mac_2" 6.373617649 -1.162781358 3375 72103
"L1_TKR181100052_sc13" "Lung" "CS23" "Mac_2" 6.31594038 -1.128932476 2842 72337
"L1_TKR181100052_sc14" "Lung" "CS23" "Mac_2" 6.211930275 -1.295009851 2599 36274
"L1_TKR181100052_sc17" "Lung" "CS23" "Mac_2" 5.981651783 -1.082503915 3310 56353
"L1_TKR181100052_sc18" "Lung" "CS23" "Mac_2" 6.220843792 -1.002763629 3451 63207
"L1_TKR181100052_sc19" "Lung" "CS23" "CD7loP" 1.44050765 -1.655439496 4392 190174
"L1_TKR181100052_sc20" "Lung" "CS23" "Mac_2" 6.297324657 -1.140165329 2634 16609
"L1_TKR181100052_sc21" "Lung" "CS23" "Mac_2" 6.365264416 -1.069395185 2605 34012
"L1_TKR181100052_sc22" "Lung" "CS23" "ILC" -2.768036366 -6.054860592 3286 76352
"L1_TKR181100052_sc24" "Lung" "CS23" "ILC" -2.660538197 -6.160847187 2640 42627
"L1_TKR181100052_sc25" "Lung" "CS23" "Mac_2" 4.884885311 -1.910092473 5518 220277
"L1_TKR181100052_sc26" "Lung" "CS23" "Monocyte" 2.51396513 -1.069300413 4030 80856
"L1_TKR181100052_sc28" "Lung" "CS23" "Mac_2" 6.33407259 -1.178797245 2666 18194
"L1_TKR181100052_sc29" "Lung" "CS23" "Mac_2" 6.385934353 -1.111786962 2275 20262
"L1_TKR181100052_sc31" "Lung" "CS23" "Mac_2" 4.762020588 -1.265808582 2934 13259
"L1_TKR181100052_sc32" "Lung" "CS23" "Mac_2" 4.751190186 -1.399185658 3726 59637
"L1_TKR181100052_sc33" "Lung" "CS23" "Mac_2" 4.46516037 -2.18572998 3817 110805
"L1_TKR181100052_sc37" "Lung" "CS23" "Monocyte" 4.452242374 -2.198316813 2979 45532
"L1_TKR181100052_sc38" "Lung" "CS23" "Mac_2" 4.65715313 -1.936953306 3859 110437
"L1_TKR181100052_sc39" "Lung" "CS23" "Mac_2" 6.227459431 -0.991505086 2403 15155
"L1_TKR181100052_sc40" "Lung" "CS23" "Monocyte" 4.179327011 -1.827405572 3617 87046
"L1_TKR181100052_sc41" "Lung" "CS23" "Mac_2" 6.199623585 -1.12335813 3381 115533
"L1_TKR181100052_sc42" "Lung" "CS23" "Mac_2" 4.771874905 -2.179595947 4239 128594
"L1_TKR181100052_sc44" "Lung" "CS23" "Mac_2" 4.771142006 -1.825068593 4052 154565
"L1_TKR181100052_sc45" "Lung" "CS23" "Mac_2" 5.897146702 -1.244784355 4493 129108
"L1_TKR181100052_sc47" "Lung" "CS23" "Mac_2" 6.197040081 -1.118633628 3143 36001
"L1_TKR181100052_sc48" "Lung" "CS23" "Mac_2" 6.186388969 -1.265326142 2591 34014
"L1_TKR181100052_sc49" "Lung" "CS23" "Mac_2" 4.392451763 -1.994260311 6009 185367
"SK1_TKR181100054_sc1" "Skin" "CS23" "ILC" -2.73165822 -6.363613605 4907 254630
"SK1_TKR181100054_sc2" "Skin" "CS23" "Myeloblast" 1.494538188 0.657443047 2946 39697
"SK1_TKR181100054_sc3" "Skin" "CS23" "Myeloblast" 1.314725161 0.780310094 3319 58082
"SK1_TKR181100054_sc4" "Skin" "CS23" "CD7hiP" -0.074220411 -4.442158222 5031 159544
"SK1_TKR181100054_sc5" "Skin" "CS23" "ILC" -2.671046495 -6.24209547 3048 18297
"SK1_TKR181100054_sc6" "Skin" "CS23" "Mast cell" -7.541485786 -2.026121616 3090 20502
"SK1_TKR181100054_sc7" "Skin" "CS23" "Mac_2" 4.51839447 -0.762658179 4414 47741
"SK1_TKR181100054_sc8" "Skin" "CS23" "Monocyte" 3.322561979 -0.183203712 2282 12130
"SK1_TKR181100054_sc10" "Skin" "CS23" "Myeloblast" 1.289557815 0.543015122 5335 112029
"SK1_TKR181100054_sc11" "Skin" "CS23" "ILC" -2.865849495 -6.431478977 3205 22947
"SK1_TKR181100054_sc12" "Skin" "CS23" "Monocyte" 2.948532343 -0.232069984 3956 128494
"SK1_TKR181100054_sc13" "Skin" "CS23" "Mac_2" 4.635980129 -0.719011962 4763 137098
"SK1_TKR181100054_sc14" "Skin" "CS23" "Monocyte" 1.938195348 -0.476350248 6084 426540
"SK1_TKR181100054_sc15" "Skin" "CS23" "Mac_2" 4.151406765 -0.509657085 5269 201442
"SK1_TKR181100054_sc17" "Skin" "CS23" "Mac_4" 9.805698395 -1.555226564 3936 164127
"SK1_TKR181100054_sc18" "Skin" "CS23" "Myeloblast" 1.115412235 0.357401997 4300 50887
"SK1_TKR181100054_sc19" "Skin" "CS23" "Mac_2" 4.683286667 -0.460844874 3914 177023
"SK1_TKR181100054_sc20" "Skin" "CS23" "Myeloblast" 0.596788049 0.468536139 2643 12194
"SK1_TKR181100054_sc21" "Skin" "CS23" "Monocyte" 2.335609674 -0.234169126 3923 50976
"SK1_TKR181100054_sc22" "Skin" "CS23" "Monocyte" 2.633812904 -0.397736818 3529 90764
"SK1_TKR181100054_sc24" "Skin" "CS23" "Monocyte" 2.708329201 -0.31712231 3064 50529
"SK1_TKR181100054_sc25" "Skin" "CS23" "Monocyte" 3.282016993 -0.163772598 2694 63637
"SK1_TKR181100054_sc26" "Skin" "CS23" "Mast cell" -7.627818108 -2.041233063 3114 129615
"SK1_TKR181100054_sc27" "Skin" "CS23" "Myeloblast" 0.957543194 -0.322873801 5400 302183
"SK1_TKR181100054_sc28" "Skin" "CS23" "ILC" -2.752472878 -6.156094551 2452 13392
"SK1_TKR181100054_sc29" "Skin" "CS23" "ILC" -2.586635113 -6.306368351 3605 187740
"SK1_TKR181100054_sc30" "Skin" "CS23" "Myeloblast" 1.647358775 0.492651731 4163 241231
"SK1_TKR181100054_sc33" "Skin" "CS23" "Mast cell" -7.627494812 -2.029896736 2515 63991
"SK1_TKR181100054_sc35" "Skin" "CS23" "Monocyte" 2.602739811 -0.08194007 4254 64161
"SK1_TKR181100054_sc36" "Skin" "CS23" "Monocyte" 2.821325064 -0.332837135 4003 91724
"SK1_TKR181100054_sc37" "Skin" "CS23" "Myeloblast" 1.133779049 0.733321905 2762 60401
"SK1_TKR181100054_sc38" "Skin" "CS23" "Monocyte" 3.185427904 -0.314651698 4267 200576
"SK1_TKR181100054_sc39" "Skin" "CS23" "ILC" -2.803895235 -6.279019356 3247 34403
"SK1_TKR181100054_sc40" "Skin" "CS23" "Myeloblast" 0.978703737 0.241186753 5530 354419
"SK1_TKR181100054_sc41" "Skin" "CS23" "Myeloblast" 1.192027926 0.289775938 5125 246105
"SK1_TKR181100054_sc42" "Skin" "CS23" "Mac_2" 4.645795345 -0.61979866 4353 249421
"SK1_TKR181100054_sc43" "Skin" "CS23" "Monocyte" 1.343370557 -1.177007079 3741 26708
"SK1_TKR181100054_sc44" "Skin" "CS23" "Monocyte" 3.160714865 -0.146267816 3773 212470
"SK1_TKR181100054_sc45" "Skin" "CS23" "ILC" -2.812647581 -6.279769897 3592 130448
"SK1_TKR181100054_sc47" "Skin" "CS23" "Myeloblast" 1.347510219 0.609694481 3811 172299
"SK1_TKR181100054_sc48" "Skin" "CS23" "Myeloblast" 0.951942921 0.615549862 4899 305726
"SK1_TKR181100054_sc49" "Skin" "CS23" "Myeloblast" 0.881003141 0.348969698 4990 290316
"SK1_TKR181100054_sc50" "Skin" "CS23" "Myeloblast" 0.848910451 0.328212082 3266 88788
"H8_TKR190100054_HY3F7CCXY_L2_sc49" "Head" "CS15" "Mac_4" 8.211437225 -1.818040729 6123 272301
"H8_TKR190100054_HY3F7CCXY_L2_sc50" "Head" "CS15" "Monocyte" 2.967343807 -2.503851652 6556 536192
"H8_TKR190100054_HY3F7CCXY_L2_sc51" "Head" "CS15" "Mac_3" 6.855543613 -2.951475859 6742 578672
"H8_TKR190100054_HY3F7CCXY_L2_sc52" "Head" "CS15" "CD7loP" 0.660641789 -3.542403221 7457 813765
"H8_TKR190100054_HY3F7CCXY_L2_sc53" "Head" "CS15" "CD7hiP" 0.91282326 -4.66467905 4120 115138
"H8_TKR190100054_HY3F7CCXY_L2_sc54" "Head" "CS15" "Monocyte" 3.40937686 -2.242467642 6017 326798
"H8_TKR190100054_HY3F7CCXY_L2_sc55" "Head" "CS15" "Monocyte" 3.709372759 -2.241943836 5521 434456
"H8_TKR190100054_HY3F7CCXY_L2_sc56" "Head" "CS15" "Mac_2" 4.004518509 -2.131499529 6424 126751
"H8_TKR190100054_HY3F7CCXY_L2_sc57" "Head" "CS15" "CD7hiP" 0.483755171 -4.930703163 4984 280141
"H8_TKR190100054_HY3F7CCXY_L2_sc58" "Head" "CS15" "Mac_2" 5.175903797 -2.105942488 5869 367958
"H8_TKR190100054_HY3F7CCXY_L2_sc59" "Head" "CS15" "Mac_2" 5.370520592 -2.010347843 3296 44232
"H8_TKR190100054_HY3F7CCXY_L2_sc60" "Head" "CS15" "Monocyte" 3.2791605 -2.599308729 3215 35149
"H8_TKR190100054_HY3F7CCXY_L2_sc61" "Head" "CS15" "Mac_2" 4.531431675 -2.135769844 4820 182515
"H8_TKR190100054_HY3F7CCXY_L2_sc62" "Head" "CS15" "Mac_2" 5.008992195 -2.983230829 4999 202835
"H8_TKR190100054_HY3F7CCXY_L2_sc63" "Head" "CS15" "Monocyte" 5.855881691 -2.836372137 4601 117202
"H8_TKR190100054_HY3F7CCXY_L2_sc64" "Head" "CS15" "Monocyte" 6.142830372 -2.781898975 5874 237849
"H8_TKR190100054_HY3F7CCXY_L2_sc65" "Head" "CS15" "Mac_2" 3.836093426 -2.06526351 8957 776313
"H8_TKR190100054_HY3F7CCXY_L2_sc66" "Head" "CS15" "Mac_2" 5.711826324 -1.208800197 3890 158978
"H8_TKR190100054_HY3F7CCXY_L2_sc67" "Head" "CS15" "Mac_3" 6.705862045 -2.954397678 7497 800137
"H8_TKR190100054_HY3F7CCXY_L2_sc68" "Head" "CS15" "Mac_2" 5.04408884 -1.928412437 6351 576214
"H8_TKR190100054_HY3F7CCXY_L2_sc69" "Head" "CS15" "Mac_2" 5.222799301 -2.26704812 3687 66365
"H8_TKR190100054_HY3F7CCXY_L2_sc70" "Head" "CS15" "Monocyte" 3.871514082 -1.781248093 7125 397891
"H8_TKR190100054_HY3F7CCXY_L2_sc71" "Head" "CS15" "Monocyte" 4.450237751 -2.710455418 2817 11706
"H8_TKR190100054_HY3F7CCXY_L2_sc72" "Head" "CS15" "Mac_2" 4.17895031 -2.486174107 5162 189087
"H8_TKR190100054_HY3F7CCXY_L2_sc73" "Head" "CS15" "Mac_4" 8.440973282 -1.658561826 3356 18328
"H8_TKR190100054_HY3F7CCXY_L2_sc74" "Head" "CS15" "Monocyte" 7.106666088 -2.364958286 6205 580935
"H8_TKR190100054_HY3F7CCXY_L2_sc75" "Head" "CS15" "CD7hiP" 0.76646167 -4.095725536 6454 314469
"H8_TKR190100054_HY3F7CCXY_L2_sc76" "Head" "CS15" "Mac_2" 7.49235487 -2.011090994 5307 85307
"H8_TKR190100054_HY3F7CCXY_L2_sc77" "Head" "CS15" "Mac_2" 4.353978157 -2.137268305 5535 339255
"H8_TKR190100054_HY3F7CCXY_L2_sc78" "Head" "CS15" "Myeloblast" 0.659697413 -0.720374584 7432 543874
"H8_TKR190100054_HY3F7CCXY_L2_sc79" "Head" "CS15" "Mac_2" 7.450376034 -1.951981068 6481 369827
"H8_TKR190100054_HY3F7CCXY_L2_sc80" "Head" "CS15" "Mac_2" 4.134871006 -2.251625061 7158 711297
"H8_TKR190100054_HY3F7CCXY_L2_sc81" "Head" "CS15" "Mac_2" 4.38949728 -2.189099312 3779 67465
"H8_TKR190100054_HY3F7CCXY_L2_sc82" "Head" "CS15" "Mac_3" 6.682671547 -2.267930746 3483 79620
"H8_TKR190100054_HY3F7CCXY_L2_sc83" "Head" "CS15" "Monocyte" 4.014430523 -2.698752403 2348 22509
"H8_TKR190100054_HY3F7CCXY_L2_sc84" "Head" "CS15" "Mac_3" 6.939562321 -2.830091953 4349 127623
"H8_TKR190100054_HY3F7CCXY_L2_sc85" "Head" "CS15" "CD7hiP" 0.379137844 -4.632560253 3636 20833
"H8_TKR190100054_HY3F7CCXY_L2_sc87" "Head" "CS15" "Mac_2" 5.354670525 -1.691384912 5918 225842
"H8_TKR190100054_HY3F7CCXY_L2_sc89" "Head" "CS15" "Mac_2" 5.335917473 -1.833614349 4569 286785
"H8_TKR190100054_HY3F7CCXY_L2_sc90" "Head" "CS15" "Mac_2" 5.658092499 -1.818835855 4846 297614
"H8_TKR190100054_HY3F7CCXY_L2_sc91" "Head" "CS15" "Monocyte" 5.181485176 -3.113140821 3552 17944
"H8_TKR190100054_HY3F7CCXY_L2_sc92" "Head" "CS15" "Mac_3" 6.552853584 -2.0075562 7324 759839
"H8_TKR190100054_HY3F7CCXY_L2_sc93" "Head" "CS15" "Mac_2" 4.530340672 -2.477746725 2452 24570
"H8_TKR190100054_HY3F7CCXY_L2_sc94" "Head" "CS15" "Monocyte" 4.576900482 -2.535204649 2869 20012
"H8_TKR190100054_HY3F7CCXY_L2_sc95" "Head" "CS15" "Mac_2" 5.06424284 -1.720210075 5358 132941
"H8_TKR190100054_HY3F7CCXY_L2_sc96" "Head" "CS15" "Monocyte" 3.657730818 -2.11916399 3426 97506
"FL9_TKR190100055_HY3F7CCXY_L2_sc1" "Liver" "CS15" "Monocyte" 4.603480816 -3.82691288 9671 303954
"FL9_TKR190100055_HY3F7CCXY_L2_sc2" "Liver" "CS15" "Monocyte" 1.668673635 -3.424772978 6380 319335
"FL9_TKR190100055_HY3F7CCXY_L2_sc5" "Liver" "CS15" "CD7loP" 1.122136474 -3.113577127 3692 37720
"FL9_TKR190100055_HY3F7CCXY_L2_sc6" "Liver" "CS15" "Mac_3" 6.139419556 -2.879993916 3504 38118
"FL9_TKR190100055_HY3F7CCXY_L2_sc7" "Liver" "CS15" "Mac_2" 4.78474474 -2.353841305 3334 46193
"FL9_TKR190100055_HY3F7CCXY_L2_sc8" "Liver" "CS15" "Mac_2" 5.538777351 -2.755284548 4007 40110
"FL9_TKR190100055_HY3F7CCXY_L2_sc10" "Liver" "CS15" "Mac_3" 6.775521278 -2.966984272 6410 321620
"FL9_TKR190100055_HY3F7CCXY_L2_sc11" "Liver" "CS15" "Myeloblast" 1.113146424 -0.557656229 7117 310231
"FL9_TKR190100055_HY3F7CCXY_L2_sc12" "Liver" "CS15" "Mac_3" 6.41906786 -2.914787054 5232 148653
"FL9_TKR190100055_HY3F7CCXY_L2_sc13" "Liver" "CS15" "Mac_3" 6.45845747 -2.851703405 5244 205845
"FL9_TKR190100055_HY3F7CCXY_L2_sc14" "Liver" "CS15" "GMP" -1.879070759 0.281260043 5603 228614
"FL9_TKR190100055_HY3F7CCXY_L2_sc15" "Liver" "CS15" "Myeloblast" -0.103084251 0.467374533 6390 320008
"FL9_TKR190100055_HY3F7CCXY_L2_sc16" "Liver" "CS15" "Myeloblast" -0.182172373 0.504959643 6497 315011
"FL9_TKR190100055_HY3F7CCXY_L2_sc17" "Liver" "CS15" "CD7loP" 0.938839078 -2.89640975 8047 564216
"FL9_TKR190100055_HY3F7CCXY_L2_sc18" "Liver" "CS15" "Monocyte" 5.532596111 -3.120309353 5907 191558
"FL9_TKR190100055_HY3F7CCXY_L2_sc19" "Liver" "CS15" "CD7loP" 0.771487296 -3.234296799 4573 165221
"FL9_TKR190100055_HY3F7CCXY_L2_sc21" "Liver" "CS15" "GMP" -1.363050342 0.405968368 3466 61163
"FL9_TKR190100055_HY3F7CCXY_L2_sc22" "Liver" "CS15" "Monocyte" 5.231339455 -3.416734457 6165 275191
"FL9_TKR190100055_HY3F7CCXY_L2_sc24" "Liver" "CS15" "CD7hiP" -0.817535043 -3.805522203 6175 227013
"FL9_TKR190100055_HY3F7CCXY_L2_sc25" "Liver" "CS15" "GMP" -1.794748664 0.230537355 6650 536720
"FL9_TKR190100055_HY3F7CCXY_L2_sc26" "Liver" "CS15" "Monocyte" 4.550857544 -3.498119116 4242 144736
"FL9_TKR190100055_HY3F7CCXY_L2_sc28" "Liver" "CS15" "Myeloblast" 1.196861267 -0.095144503 2693 26279
"FL9_TKR190100055_HY3F7CCXY_L2_sc29" "Liver" "CS15" "CD7loP" -1.78839004 -0.785001934 9043 693253
"FL9_TKR190100055_HY3F7CCXY_L2_sc30" "Liver" "CS15" "YSMP" -4.52751112 -1.699012876 6477 429164
"FL9_TKR190100055_HY3F7CCXY_L2_sc31" "Liver" "CS15" "Monocyte" 0.490385264 -3.085299969 2751 18894
"FL9_TKR190100055_HY3F7CCXY_L2_sc32" "Liver" "CS15" "Monocyte" 1.342834473 -2.392691851 7996 382665
"FL9_TKR190100055_HY3F7CCXY_L2_sc33" "Liver" "CS15" "GMP" -1.752526164 0.365868777 5116 147197
"FL9_TKR190100055_HY3F7CCXY_L2_sc34" "Liver" "CS15" "ErP" -6.581106186 -3.972140312 4074 19357
"FL9_TKR190100055_HY3F7CCXY_L2_sc35" "Liver" "CS15" "CD7hiP" -0.563784778 -4.279185772 5266 119777
"FL9_TKR190100055_HY3F7CCXY_L2_sc36" "Liver" "CS15" "Myeloblast" -0.524403811 0.496904403 5022 102822
"FL9_TKR190100055_HY3F7CCXY_L2_sc37" "Liver" "CS15" "Mac_3" 6.197024345 -3.16174531 5648 252705
"FL9_TKR190100055_HY3F7CCXY_L2_sc38" "Liver" "CS15" "Monocyte" 3.539003611 -2.549648523 4472 194976
"FL9_TKR190100055_HY3F7CCXY_L2_sc39" "Liver" "CS15" "CD7loP" 1.020355821 -2.781254768 5471 79479
"FL9_TKR190100055_HY3F7CCXY_L2_sc40" "Liver" "CS15" "CD7loP" 1.173949242 -2.645279408 8300 867226
"FL9_TKR190100055_HY3F7CCXY_L2_sc41" "Liver" "CS15" "Monocyte" 1.54191041 -3.254716635 6010 308576
"FL9_TKR190100055_HY3F7CCXY_L2_sc42" "Liver" "CS15" "CD7loP" 0.819731295 -2.995589972 6789 603174
"FL9_TKR190100055_HY3F7CCXY_L2_sc43" "Liver" "CS15" "Mast cell" -5.346773624 -2.037871599 5281 67455
"FL9_TKR190100055_HY3F7CCXY_L2_sc44" "Liver" "CS15" "CD7hiP" 0.469786048 -4.461374283 4902 338353
"FL9_TKR190100055_HY3F7CCXY_L2_sc45" "Liver" "CS15" "Myeloblast" -0.694562972 0.456914902 6135 280364
"FL9_TKR190100055_HY3F7CCXY_L2_sc48" "Liver" "CS15" "Mac_3" 6.365912437 -3.071289539 6092 434066
"YS12_TKR190100053_HY3F7CCXY_L2_sc1" "YS" "CS15" "Mac_2" 4.999946594 -4.214837551 9404 179636
"YS12_TKR190100053_HY3F7CCXY_L2_sc2" "YS" "CS15" "Mac_2" 4.875842094 -4.283438206 3029 26718
"YS12_TKR190100053_HY3F7CCXY_L2_sc4" "YS" "CS15" "Mac_2" 5.063495159 -3.947791338 5828 226200
"YS12_TKR190100053_HY3F7CCXY_L2_sc5" "YS" "CS15" "CD7hiP" 0.262667149 -4.609504223 4400 61490
"YS12_TKR190100053_HY3F7CCXY_L2_sc6" "YS" "CS15" "Mac_2" 5.296913624 -4.016532421 2115 14798
"YS12_TKR190100053_HY3F7CCXY_L2_sc7" "YS" "CS15" "Mac_2" 5.294199467 -3.699460268 4648 97609
"YS12_TKR190100053_HY3F7CCXY_L2_sc8" "YS" "CS15" "Mac_2" 5.378398418 -3.881079197 2883 32854
"YS12_TKR190100053_HY3F7CCXY_L2_sc9" "YS" "CS15" "Mac_2" 4.876505375 -3.456418037 4237 153876
"YS12_TKR190100053_HY3F7CCXY_L2_sc10" "YS" "CS15" "YSMP" -5.302599907 -1.297109485 5654 307318
"YS12_TKR190100053_HY3F7CCXY_L2_sc12" "YS" "CS15" "Mast cell" -5.6667943 -1.682334661 4714 141085
"YS12_TKR190100053_HY3F7CCXY_L2_sc13" "YS" "CS15" "Monocyte" 5.060805798 -3.974334955 5669 330948
"YS12_TKR190100053_HY3F7CCXY_L2_sc14" "YS" "CS15" "Mac_2" 5.51825285 -3.807299137 3967 161684
"YS12_TKR190100053_HY3F7CCXY_L2_sc15" "YS" "CS15" "Mac_2" 5.097261906 -4.027298927 4309 156633
"YS12_TKR190100053_HY3F7CCXY_L2_sc16" "YS" "CS15" "CD7loP" 0.252381533 -3.169068098 6784 598912
"YS12_TKR190100053_HY3F7CCXY_L2_sc17" "YS" "CS15" "Mac_2" 5.337135315 -4.045089722 4064 72215
"YS12_TKR190100053_HY3F7CCXY_L2_sc18" "YS" "CS15" "YSMP" -5.507475853 -1.383173585 6583 302156
"YS12_TKR190100053_HY3F7CCXY_L2_sc19" "YS" "CS15" "Mac_2" 4.851695538 -4.249321461 8764 877584
"YS12_TKR190100053_HY3F7CCXY_L2_sc20" "YS" "CS15" "Mac_2" 4.984100819 -3.588258982 5267 160545
"YS12_TKR190100053_HY3F7CCXY_L2_sc21" "YS" "CS15" "Mast cell" -5.457193851 -1.940568209 3882 122319
