,TCGA-NJ-A4YG-01,TCGA-05-4420-01,TCGA-L9-A444-01,TCGA-55-1594-01,TCGA-78-8648-01,TCGA-55-8085-01,TCGA-55-7281-01,TCGA-38-4630-01,TCGA-91-6848-01,TCGA-49-4486-01,TCGA-55-7728-01,TCGA-55-A492-01,TCGA-86-7954-01,TCGA-55-8619-01,TCGA-NJ-A55O-01,TCGA-44-2655-01,TCGA-55-8206-01,TCGA-NJ-A7XG-01,TCGA-MP-A4TK-01,TCGA-J2-8194-01,TCGA-55-7913-01,TCGA-78-7633-01,TCGA-44-3919-01,TCGA-55-A4DF-01,TCGA-64-1677-01,TCGA-95-8039-01,TCGA-86-7714-01,TCGA-O1-A52J-01,TCGA-50-5942-01,TCGA-05-4390-01,TCGA-78-7156-01,TCGA-38-4626-01,TCGA-55-5899-01,TCGA-97-7552-01,TCGA-MP-A4TI-01,TCGA-50-5068-01,TCGA-55-8094-01,TCGA-73-4670-01,TCGA-86-8056-01,TCGA-44-5644-01,TCGA-44-7662-01,TCGA-78-7145-01,TCGA-50-5946-01,TCGA-44-2665-01,TCGA-49-4494-01,TCGA-67-6217-01,TCGA-97-7937-01,TCGA-35-3615-01,TCGA-91-6840-01,TCGA-86-8074-01
RP11-340A13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-375B1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-509A17.3,0,0,0.1,0,0,0.1,0,0.3,0,0,0.1,0.1,0.1,0.1,0,0.2,0.2,0,0.2,0.1,0.1,0.2,0,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0.4,0,0,0,0
RP11-540B6.3,0,0,0.1,0.4,0,0.4,0,0,0.2,0,0.1,0,0.2,0.1,0.2,0,0.2,0.1,0.6,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0.1,0,0,0,0,0,0.2,0,0.1,0.1
TRAPPC13P1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.7,0,1,0.1,0,0.1,0,0,0.1,0.2,0,0.2,0,0.6,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0.4,0,0,0,0.1,0,0
ZNF330,3.7,3.9,3.7,3.6,3.4,5.7,3.2,4.1,4.1,3.9,3.2,3.4,3.6,3.5,3.6,3.8,3.7,3.9,3.6,4.2,3.5,3.7,3.8,4.1,3.3,4,4.1,3.7,3.9,7.6,4.4,3.7,4,3.8,3.7,3.6,3.5,3.3,4.1,3.3,3.2,3.5,3.8,3.7,3.2,3.7,3.9,4,3.2,4.4
RNASE13,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0
AC005549.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR518A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR6895,0,0.4,1.6,0.3,0.9,0,0.9,1.1,0,0,1.4,0,1.1,0,0.7,0,0.4,0.6,0.9,0.3,0.4,0,0,0.9,0,0,0.6,0.3,0,0,0,0.2,0,0,0.9,0,0.9,0.2,0.9,1.4,0.4,0,0.5,0.5,0.2,0.4,0,0,0.9,0.2
AE000661.37,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0.1,0,0.2,0.1,0.1,0.1,0,0.1,0.1,0,0.2,0.1,0.2,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.3,0.1,0,0.2,0.2,0.1,0,0.1,0.1,0,0.1,0,0,0.2,0.1,0,0,0,0,0.1
RP11-673C5.1,4.1,3.4,3.8,3.6,3.7,4.3,3.9,4.6,4.2,4,2.7,3.6,3,3.3,3.5,4.3,3.3,4,3.7,2.8,3.5,3.7,2.9,4.6,4.8,3.3,5.1,2.9,3.6,3.7,3.9,3.5,3.8,3.7,3.8,4.2,3,3.8,3.1,3.5,3.6,3.7,4.5,3.4,4.2,3.5,3.8,4,4.3,3.8
CXorf40A,1.7,2.3,2.1,2.4,1.7,1.7,2,1.9,1.6,1.8,2.1,2.1,2.6,2.1,2.1,2,1.9,2.4,2,1.8,2.4,1.5,2.1,2.8,2.1,2.5,1.7,2.6,1.6,1.8,1.7,1.6,2.8,1.7,2.1,2.5,1.6,2.6,1.9,2.9,2.2,1.7,1.7,2,2.2,2,2.5,2,1.8,2.4
ZDHHC22,0,0,0,1.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0.4,0,0,2.9,0,0,0,0,0,0,0
AC012314.8,0.3,0.2,0.7,0.4,0.3,0.3,0.1,0.4,0.4,0.1,0.4,0.2,0.3,0.2,0.3,0.1,0.5,0.5,0.7,0.3,0.3,0.1,0.3,0.7,0.3,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.1,0.3,0.1,0.4,0.6,0.4,0.2,0.6,0.2,0.1,0.4,0.3,0.2,0.5,0.3
RP11-178D12.2,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0.2,0.1,0,0,0,0,0.1,0,0.1,0.2,0,0.1,0.1,0,0,0.1,0,0.1,0,0.2,0.2,0.1,0,0.1,0.1,0,0.1,0.1,0.2,0.4,0.1
AC019064.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM238,2.1,3,2.8,0.7,1.6,2,2.4,0.6,0.5,2.3,2.8,3.3,0.7,2.4,3.6,1,2.3,3.4,1.5,2.4,2.9,3.1,2.6,1.5,2.1,2,1.2,2.7,3,3.3,1.4,1.9,2.1,1.9,1.4,3.9,2.2,3,2.5,1.4,2.7,1.3,2.5,0.5,3,3,2,2.2,2.2,2.4
UNC93B1,4,4.6,5.7,3.6,4.6,4.2,4.4,3.9,3.4,4.7,5.8,5.1,5.3,5.2,6.1,4.7,4,4.5,4.3,4.7,4.5,4.5,4.6,3.9,3.6,4.8,3.9,4.1,3.9,3.9,4.1,4.5,4.2,5.4,4.7,4.1,5.3,4.9,4.3,3.9,5,3.6,4.2,3.3,4.9,4.2,4.6,3.6,4.6,3.7
BEX1,0.1,0.2,0.2,4.7,0,0.2,0.3,4.1,2.5,0.1,0.2,0.6,0.2,0.3,0.4,0.3,0.7,1.1,0.2,0.2,0.4,0.1,0.2,1.2,0.1,1,0,6.6,0.3,0,0.3,1.1,3.8,0.2,0.3,0.7,2.1,0.1,0.1,0.1,0,0.4,0.2,0.4,0.2,0.4,0.1,0.2,4.4,0.1
AC079117.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005000.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF106564.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBFOX1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.5,0,1.8,1,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
RP3-465N24.5,0.7,0,0,0.8,0.6,1.3,0.3,1.3,0,0.1,1.1,0,1.4,0,0.8,0,0.4,1.9,0.8,0.3,0.4,0.1,0.2,1.5,0,0.3,1.1,1,0.2,0.2,1.3,0.3,0.4,1.1,0.8,0.3,1,0.4,0.9,0.5,0,0.3,0.8,0.6,0.1,0.4,1.2,0,0.5,0.8
RP11-303E16.6,0,0,0.5,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1,0.2,0,0.2,0.5,0.4,0.2,0.4,0,0.7,0.1,0.2,0.3,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0,0.1,0.5,0.1,0,0.1,0.5,0,0.1,0.2,0.1,0.3,0,0.1,0.2,0.1,0.1,0.3
LIM2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-688D15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYD88,4.7,3.7,4.7,3.6,4.3,4.1,4.7,3.9,4.4,3.6,5.1,3,4.6,5.2,4.4,4.4,4.3,4.1,4.5,4.6,4.1,3.3,4.8,4.2,3.9,4.6,4.4,4.1,4.1,4.1,3.4,5.1,4.2,4.9,5,4.1,3.4,3.7,4.6,3.5,4.5,4.8,4.1,4.6,5,3.8,4.1,4.3,4.2,4.6
TSEN15P2,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0.2,0.2,0,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0.3,0,0.1,0.1,0.2,0.2,0.1,0.1,0,0.1,0.2,0,0,0.2
RP1-101G11.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-3162L10.5,0,0,0.1,0,0,0,0,0.1,0.2,0,0,0,0.2,0,0,0,0.1,0,0.1,0,0,0,0,0.7,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0.4,0,0,0.2,0,0,0.5,0.7,0,0.4,0,0,0.1,0.1
AC079804.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD001527.7,0.3,0.1,0.4,0.3,0.6,0.6,0.4,0.7,0.7,0.2,1.3,0.4,0.3,0.8,0.9,0.3,0.8,0.3,0.4,0.2,0.4,0,0.4,1.4,0.3,0.5,0.2,0.2,0.3,0.4,0.1,0.6,0.2,0.4,0.5,0.1,0.8,0,0.5,1.4,0.4,0.3,1,0.5,0.3,0.7,0.3,0.4,0.4,0.6
ALG1,3.5,2.6,2.4,2.4,2.6,2.8,2.4,2.7,2.8,2.6,2.2,3.2,3,2.5,2.9,3.2,2.9,3.2,2.6,2.6,1.9,3,2.8,2.6,2.2,2.9,2.9,4,2.8,3.3,3.1,2.8,2.8,2.6,2.5,2.3,2.7,2.9,2.5,2.2,2.6,2.8,2.1,2.8,3.1,3.2,2.8,2.5,2.5,2.4
SYNGR1,0.4,0.3,1.2,0.3,1.6,0.5,0.3,2.4,1.3,0.4,1.3,0.4,0.4,1.1,1.5,0.5,1.9,0.4,1,0.4,1,0.3,0.8,0.4,0.4,0.7,1.9,0.4,2.1,0.5,0.2,0.6,1.7,1.2,0.8,0.5,1.5,1.3,0.9,0.4,0.6,0.5,0.6,1.1,0.2,1.1,0.2,0.3,1.5,0.5
MAGEL2,0.2,0.1,0.2,0.1,1,0,0.1,1.8,2.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,1,0.3,0.4,0.2,0.2,0.1,0.1,0.1,0.6,0.2,0.3,0.2,0.1,0.3,0.1,0.1,0.3,0,0,0.1,0,0.1,0.6,0.1,0,0.7,0.1,0.1,0.2,0.1,0.4,0.4
COX10-AS1,0.9,0.5,1.2,0.4,0.8,0.5,0.4,0.7,1,0.5,0.7,0.7,0.7,0.7,0.6,0.6,1.4,1.9,1.3,1,0.7,0.6,0.8,1.2,0.9,0.6,1.3,0.7,1.2,0.5,0.8,0.5,0.8,0.9,0.8,0.8,1,0.6,0.5,1.7,0.7,0.7,1.1,0.8,0.5,1.1,1,1,0.8,1.3
LEPROTL1,3.8,3.8,3.3,3.6,3.4,3.6,3.3,3.5,3.8,3.3,3.2,3.4,2.6,3.5,3.3,4.1,3.4,3.4,3.1,2.9,3.1,3.4,3.3,3.3,3.4,3.2,3.2,3.1,3,3.4,3.4,3.3,3.7,4.1,3.4,3.9,4,3.6,3.7,3.4,2.8,2.8,2.8,3.5,3.9,3.3,2.9,3.8,3.7,2.5
RP13-128O4.3,0.7,0.2,0.7,0.1,0.4,0.2,0.3,0.2,0.3,0.1,1,0,0.6,0.8,0.7,0.2,0.6,1.7,1,0.4,0.7,0.2,0.6,0.6,0.4,0.4,0.5,0.8,0.4,0.4,0.3,0.6,0.4,0.4,1.5,0.2,0.5,0.4,0.6,1.6,0.6,0.3,0.6,0.5,0.4,0.4,0.5,0.3,1,0.6
NXPE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQP8,0.2,0.1,0.2,0,0,0,0.1,0.1,0,0,0.1,0,0,0.3,0,0.1,0,0,0.4,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0
UNC45A,3.3,3.9,3.2,4.1,3.7,3.6,3.2,5.7,3.4,3.4,3.4,3.6,3.9,3.6,3.8,3.9,3.8,3.8,3.7,3.5,3.7,3.6,3.1,3.4,3.6,4,3.6,3.9,3.7,3.8,3.4,3.5,3.3,3.6,3.3,3,3,3.8,3.7,3.4,3.3,3.1,3.7,3.2,3.5,3.7,3.5,3.3,3.2,3.1
LRTM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0
KCNS2,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0.2,0.2,0.2,0.2,0,0,0.2,0,0.1,0,0.1,0,0,0.1,0,0,0.1,0,0.2,0,0.1,0,0,0,0
TTC39C-AS1,0.3,0.5,0.7,0.1,0.3,0.4,0.1,0.9,0.3,0.5,1.2,1.1,0.5,0.6,0.2,0.7,0.8,0.3,0.5,0.6,0.3,0.2,0.5,1.2,0.6,0.6,0,0.1,0.5,0.2,0.1,0.2,0.1,0.3,0.4,1.2,1.3,0.2,0.5,0.6,0.2,0.1,0,0.6,0,0.2,0.4,0.1,0.6,0.4
MIR1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.5,0
RNU6-1064P,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS3ST1,0.9,1.3,1.5,2,1,1.1,2,0.8,0.7,0.5,3.7,0.7,1.4,2.3,1,0.8,1,3.9,2.1,1.8,2.8,0.5,2.4,1.4,2.6,2,1.8,0.6,0.7,1.2,0.4,1.6,1.2,3.7,1.1,2.1,1.1,0.9,2.6,3.7,3.5,2.7,2.6,3.3,2,1.2,2,0.7,0.9,2.2
TMCO3,2.8,3.4,1.9,4,2.7,2.3,2.5,2.6,3.3,1.7,2.3,2.8,3.2,2.9,2.7,3.4,2.8,2.5,3.1,2.8,2.8,2.2,3.1,2.8,2,2.7,3,2.6,2.8,3.7,3.1,2.7,2.7,3.1,2.7,2.6,3.3,2.4,3.7,2.4,2.9,2.6,3,4.4,3.2,3,2.9,2.9,2.3,4.2
RP1-283E3.4,1.5,1.1,1.9,2.1,1.7,1.7,1.2,1.8,1.3,0.6,2,0.3,2.8,1.9,1.4,0.9,1.7,1.7,2.1,2.1,0.7,1.5,0.9,1.3,1.3,1.2,1.6,1.4,1.6,1.6,2.5,1.6,0.9,0.9,1.3,0.7,1.1,1.1,1.8,2.2,1.4,0.9,2.6,1.3,0.5,2.8,2.6,2.5,2.1,1.9
RP11-257K9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCF2,0,0,0.1,0.6,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.3,2.3,0,0.1,0,0,0.1,0.3,0,0.1,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0.1,0.1,0,0.1,0.5,0.3,0,0,0,0,0
AC087350.1,1.6,1.2,2.6,1.4,1.2,1.9,1.1,2.3,0,1.1,2,0,1.9,1.2,1,0.2,1.9,1.7,2.6,1.8,2.1,1.2,1.7,3,2.5,1.8,0,0,2.5,1.5,2.8,1.6,1.5,1.3,1.4,2.3,1.1,0.3,1.8,3.6,2.1,1.3,2.7,1.6,0,1.6,2.9,1.4,4.3,1.3
ACSS1,2.9,2.4,2.8,1.7,3,3.1,2.4,3.6,1.5,3,3.1,4.3,3.3,2.9,3.3,2.6,4,3.2,2,2.2,3,3.7,3.5,3.7,2.2,3.2,3,3.1,3.4,2.2,4,2.8,2.2,3.3,2.1,1.9,1.3,0.5,4.2,2.4,1.7,1.6,3.9,1.1,1.8,2.8,3.5,2.2,3,2.3
NIT2,2.6,2.5,2,2.7,2,2.8,2.3,2.6,1.8,2.8,2.3,3.2,2.8,2.1,2.2,3.3,2,2.5,2.3,2.1,3.1,2.4,2.4,1.7,3.3,2.5,2,2.1,1.9,2.2,3,2.1,2.8,2,2.2,3.3,2.8,2.6,2.6,2.9,1.8,2.1,2.5,2.5,3.3,2.4,2.7,3.1,2.8,3.1
GLB1L2,3.1,4.4,2.8,0.3,2.2,1.3,3.6,3.7,2.1,3,1,3.6,2.5,1.4,1.5,3.4,3.3,3.2,2.5,2.1,3.1,2.4,4,3.8,3.2,1.9,3.6,2.8,2.9,1.3,2.6,1.9,1.8,2,0.6,2.8,1.1,1.5,3,1.8,3,2.3,2.6,1.4,3,3,4.3,2.9,2.9,1.5
MBD3,2.9,3.6,3.6,2.8,3.6,3.1,3.1,3.1,3.2,2.4,3.3,3.2,2.6,3.3,3.3,2.4,2.8,3.2,3.8,2.6,2.8,2.2,3.3,3.4,3.1,3.7,2.3,2.9,2.7,3.2,2.5,3,3.4,2.5,3.8,1.8,3.2,2.6,2.3,3.4,3.5,2.8,3.5,2.3,3.8,2.5,2.4,2.9,2.8,2.7
AC004066.3,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.4,0,0.2,0.2,0.1,0.1,0.2,0.5,0.2,0.2,0.4,0.2,0.2,0.7,0.1,0.6,0.2,0.5,0.2,0.2,0.5,0.4,0.2,0.4,0.3,0.4,0.6,0,0.8,0.3,0.2,1,0,0.1,0.4,0.5,0.7,0.2,0.6,0.3,0.9,0.3,0.2
RP11-14C10.3,0,0.3,0.2,0.2,0.1,0.4,0.2,0,0,0,1.5,0.4,0.2,0.2,0.1,0,0,0,0,0.1,0.2,0,0,0.1,0,0.1,0,0,0,0.2,0,0,0.1,0,0,0,0.1,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0
RP11-781E19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-18P,0,0.6,0,0.4,0.6,0,0,0.4,0.7,0,2,0,0,0.5,0,0.2,0,0.4,0,0,0,0,0.6,1.1,0,0.3,0,0,0,0,0,0.8,0,0.7,1.3,0,0,0.9,0.3,0.6,0.3,0.5,1,0,0,0,0.7,0,0.6,0.8
OLFM1,1.5,0.4,0.8,0.4,1.6,0.4,1,0.2,1.7,0.9,1.2,0.6,0.6,2.9,3.3,1,1.9,2,0.8,0.7,0.1,0.5,2.1,0.4,0.3,1.5,2.3,1.2,2.5,0.2,0.4,2.1,0.5,2,1.1,1.2,0.1,0.4,1.9,1.4,0.5,0.4,0.3,2.1,0.4,2.2,0.2,0.5,0.9,1.7
RN7SKP184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-857B24.5,0.2,2.3,0.6,4.7,0.2,0.3,0.3,0.3,0.1,0.1,0.6,0,0.3,0.2,0.4,0,0.4,0.3,0.4,0,0.2,0.1,0.4,1.5,0.3,0.1,0.4,0.5,0.4,0.1,0.5,0.3,0,0.4,0.3,0.4,0.4,0.1,0.3,0.2,0.3,0.3,0.6,0.3,0.2,0.1,0.1,0.4,3.3,0.1
PCDH9-AS1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0
RP11-578O24.2,1.5,0,1.2,0.3,0.8,0.5,0.6,0.4,0.4,0.1,1.8,0.4,0.6,1.2,1.8,0.9,0.8,1.1,1.6,0,0.7,0.3,1,0.3,0.7,1.7,0.8,0.8,0.6,0.4,0.4,0.7,0.1,1.1,1.2,0.8,0.8,0.3,1.3,0.9,0.6,1.7,0.3,1.3,0.5,1.4,0.4,0.5,0.3,1.3
ABHD17C,4.8,4.8,3,4.2,3,1.3,4.1,2.1,3.2,4.7,4,3.4,2.5,4.4,5.1,4.2,4.4,4.9,4,5,6.5,2.9,4,3.5,3.7,5,4.9,2.8,4.6,4.4,2.4,3.6,2.9,5.2,2.7,3.1,4.4,5.3,4.6,4,3.2,0.5,3.7,4.9,3.8,4.1,5.1,4.4,3,3.1
CTD-3131K8.2,0.9,0.5,0.9,0.3,0.6,0.4,0.4,0.9,0.5,0.3,1.3,0.6,0.4,0.7,0.6,0.2,0.8,1.1,0.7,0.2,0.5,0.2,0.6,0.8,0.4,0.5,0.6,0.7,0.5,0.2,0.4,0.6,0.3,0.3,0.8,0.5,0.5,0.2,0.8,0.6,0.4,0.2,0.9,1.1,0.2,0.6,0.9,0.4,0.3,0.5
CCNL2,4.8,3.8,5.4,4,3.9,4.9,3.6,5,3.8,2.9,5.2,4.5,4,4.4,4.7,3.1,5,5.1,5.1,3.8,3.8,3.5,4,4,4.3,4.3,3.6,4.3,3.1,3.3,4.6,3.8,3.7,2.9,5,4.4,4.4,3.4,5.2,5.8,4.5,3.8,5.4,4.1,2.2,5.6,5.5,4.8,4.6,4.3
HESX1,0.6,0.4,0.7,0.7,0.5,0.7,0.7,1.1,0.5,0.8,1.3,0.9,1.2,0.7,0.6,0.6,0.4,0.5,0.6,0.5,0.4,0.3,1,1.6,0.7,0.7,0.7,0.3,0.7,0.1,0.6,0.7,0.8,0.6,1.1,1.7,0.9,0.2,0.8,0.4,0.7,0.5,1.5,0.5,0.3,0.5,0.2,0.7,0.4,0.8
NR1I3,0.2,0.2,0.7,0.2,0.2,0.3,0.2,0.6,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.2,0.4,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0,0.2,0.1,0.3,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.2,0.1
RP11-736N17.10,0.2,0.2,0.2,0,0.4,0.3,0,0.8,0.1,0,1.2,0.1,0.4,0.4,0.1,0,0.3,0.1,0.4,0.4,0.2,0.1,0.1,0.9,0.6,0.1,0.1,0.1,0,0.3,0,0.1,0.1,0.1,0.4,0.2,0,0.1,0,0.4,0.4,0.1,0.9,0.5,0,0.1,0.2,0.1,1.1,0.3
CTD-2210A23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-64P,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1
AC093162.1,0,0,0,0,0,0.8,0,1,0,0,0,0,0,0,0.4,0,0.6,0,0,0.2,0,0,0.2,0.3,0,0.4,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0
IGSF21,0.5,0.5,0.4,0.1,0.6,0.5,1.4,0.6,0.2,0.1,0.6,0.3,0.9,0.6,0.3,0.2,0.5,0.4,1.9,0.4,0.3,0.3,0.7,0.1,0.1,0.3,0.7,0.9,0.5,1.1,0.3,0.5,0.7,0.7,1.6,0.3,0,0.4,0.4,0.2,1.8,0.7,0.3,2.3,0.6,0.4,0.9,0.5,0.6,1.3
RNU6-1271P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-563E14.1,1.4,0.7,1.7,0.8,0.7,1.7,0.5,1,0.6,0.3,1.5,1.5,1.2,1.3,1.4,0.3,2.2,2.2,1.1,0.4,1.4,0.3,0.9,2.2,0.9,0.8,0.7,1.7,0.8,0.5,1.1,0.6,0.8,0.8,1.3,0.7,0.5,0.2,0.8,0.9,1.3,0.2,1.4,0.9,0.1,0.8,1.4,0.5,0.7,0.5
AC012442.6,0.4,0.6,0.5,0.7,0.4,0.3,0.8,0,0.2,0.5,0.6,0.6,0.4,0.2,0.2,0.4,0.4,0.5,0.4,0.1,0.4,0.7,0.4,0.8,0.5,0.7,0.5,0.6,0.3,0.4,0.4,0.3,0.5,0.2,0.2,0.4,1,0.3,0.3,0.7,0.3,0.2,0.5,0.2,0.3,0.6,0.6,0.3,0.8,0.5
MIR3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST7-AS1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC067717.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP332,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
